kind,sweep,value,T,B,N,D,sigma,L,regime,mode,time_ms,mem_mib,firing
axonal,T,1000.0,1000,256,256,25,1.0,29,fwdbwd,triton_exact,391.45477294921875,2313.31298828125,0.1171722337603569
axonal,T,1000.0,1000,256,256,25,1.0,29,fwdbwd,eventdriven,443.11529541015625,2313.56298828125,0.11717337369918823
axonal,T,1000.0,1000,256,256,25,1.0,29,fwdbwd,vanilla,495.33624267578125,1250.5,0.12430056184530258
axonal,B,32.0,250,32,256,25,1.0,29,fwd,v2,94.49472045898438,32.244140625,0.11649658530950546
axonal,B,32.0,250,32,256,25,1.0,29,fwd,v1,115.5041275024414,26.216796875,0.11649658530950546
axonal,B,32.0,250,32,256,25,1.0,29,fwd,triton_exact,11.598848342895508,39.3447265625,0.11649658530950546
axonal,B,32.0,250,32,256,25,1.0,29,fwd,eventdriven,7.581471920013428,31.279296875,0.11649658530950546
axonal,B,32.0,250,32,256,25,1.0,29,fwd,vanilla,65.24620819091797,23.5,0.12418653070926666
axonal,B,32.0,250,32,256,25,1.0,29,fwdbwd,v2,222.10560607910156,266.64501953125,0.11649658530950546
axonal,B,32.0,250,32,256,25,1.0,29,fwdbwd,v1,324.4400939941406,260.61767578125,0.11649658530950546
axonal,B,32.0,250,32,256,25,1.0,29,fwdbwd,triton_exact,75.12486267089844,86.21923828125,0.11649658530950546
axonal,B,32.0,250,32,256,25,1.0,29,fwdbwd,eventdriven,70.79936218261719,86.25048828125,0.11649658530950546
axonal,B,32.0,250,32,256,25,1.0,29,fwdbwd,vanilla,138.88922119140625,39.125,0.12418653070926666
axonal,B,64.0,250,64,256,25,1.0,29,fwd,v2,94.43328094482422,64.806640625,0.11660449951887131
axonal,B,64.0,250,64,256,25,1.0,29,fwd,v1,115.81132507324219,53.529296875,0.11660449951887131
axonal,B,64.0,250,64,256,25,1.0,29,fwd,triton_exact,11.6079683303833,80.2822265625,0.11660449951887131
axonal,B,64.0,250,64,256,25,1.0,29,fwd,eventdriven,9.74022388458252,64.091796875,0.11660449951887131
axonal,B,64.0,250,64,256,25,1.0,29,fwd,vanilla,65.87059020996094,47.375,0.12440918385982513
axonal,B,64.0,250,64,256,25,1.0,29,fwdbwd,v2,240.37171936035156,547.42626953125,0.11660449951887131
axonal,B,64.0,250,64,256,25,1.0,29,fwdbwd,v1,342.7041320800781,524.52392578125,0.11660449951887131
axonal,B,64.0,250,64,256,25,1.0,29,fwdbwd,triton_exact,76.97100830078125,176.31298828125,0.11660449951887131
axonal,B,64.0,250,64,256,25,1.0,29,fwdbwd,eventdriven,75.1677474975586,176.37548828125,0.11660449951887131
axonal,B,64.0,250,64,256,25,1.0,29,fwdbwd,vanilla,151.5160369873047,78.625,0.12440918385982513
axonal,B,128.0,250,128,256,25,1.0,29,fwd,v2,95.88246154785156,129.556640625,0.11635498702526093
axonal,B,128.0,250,128,256,25,1.0,29,fwd,v1,114.14934539794922,105.529296875,0.11635498702526093
axonal,B,128.0,250,128,256,25,1.0,29,fwd,triton_exact,11.684639930725098,160.2822265625,0.11635498702526093
axonal,B,128.0,250,128,256,25,1.0,29,fwd,eventdriven,14.534655570983887,128.154296875,0.11635498702526093
axonal,B,128.0,250,128,256,25,1.0,29,fwd,vanilla,65.73056030273438,94.75,0.12420227378606796
axonal,B,128.0,250,128,256,25,1.0,29,fwdbwd,v2,235.72802734375,1069.48876953125,0.11635498702526093
axonal,B,128.0,250,128,256,25,1.0,29,fwdbwd,v1,340.2762145996094,1043.96142578125,0.11635498702526093
axonal,B,128.0,250,128,256,25,1.0,29,fwdbwd,triton_exact,83.59510040283203,350.56298828125,0.11635498702526093
axonal,B,128.0,250,128,256,25,1.0,29,fwdbwd,eventdriven,86.16140747070312,350.68798828125,0.11635498702526093
axonal,B,128.0,250,128,256,25,1.0,29,fwdbwd,vanilla,151.27320861816406,157.25,0.12420227378606796
axonal,B,256.0,250,256,256,25,1.0,29,fwd,v2,83.25529479980469,257.556640625,0.11647504568099976
axonal,B,256.0,250,256,256,25,1.0,29,fwd,v1,100.15129852294922,209.529296875,0.11647504568099976
axonal,B,256.0,250,256,256,25,1.0,29,fwd,triton_exact,16.64512062072754,312.7822265625,0.11647504568099976
axonal,B,256.0,250,256,256,25,1.0,29,fwd,eventdriven,29.147136688232422,250.029296875,0.11647504568099976
axonal,B,256.0,250,256,256,25,1.0,29,fwd,vanilla,51.43244934082031,188.0,0.12425623089075089
axonal,B,256.0,250,256,256,25,1.0,29,fwdbwd,v2,218.708984375,2137.36376953125,0.11647504568099976
axonal,B,256.0,250,256,256,25,1.0,29,fwdbwd,v1,384.0768127441406,2084.33642578125,0.11647504568099976
axonal,B,256.0,250,256,256,25,1.0,29,fwdbwd,triton_exact,99.06483459472656,626.56298828125,0.11647504568099976
axonal,B,256.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,110.37184143066406,626.81298828125,0.11647504568099976
axonal,B,256.0,250,256,256,25,1.0,29,fwdbwd,vanilla,134.34060668945312,313.0,0.12425623089075089
axonal,B,512.0,250,512,256,25,1.0,29,fwd,v2,94.20579528808594,516.056640625,0.11652545630931854
axonal,B,512.0,250,512,256,25,1.0,29,fwd,v1,117.26131439208984,420.029296875,0.11652545630931854
axonal,B,512.0,250,512,256,25,1.0,29,fwd,triton_exact,18.22105598449707,630.2822265625,0.11652545630931854
axonal,B,512.0,250,512,256,25,1.0,29,fwd,eventdriven,73.23648071289062,503.029296875,0.11652545630931854
axonal,B,512.0,250,512,256,25,1.0,29,fwd,vanilla,65.57475280761719,377.0,0.12427597492933273
axonal,B,512.0,250,512,256,25,1.0,29,fwdbwd,v2,234.50726318359375,4265.61376953125,0.11652545630931854
axonal,B,512.0,250,512,256,25,1.0,29,fwdbwd,v1,611.3177490234375,4169.58642578125,0.11652545630931854
axonal,B,512.0,250,512,256,25,1.0,29,fwdbwd,triton_exact,131.4701385498047,1196.81298828125,0.11652545630931854
axonal,B,512.0,250,512,256,25,1.0,29,fwdbwd,eventdriven,186.8421173095703,1197.31298828125,0.11652545630931854
axonal,B,512.0,250,512,256,25,1.0,29,fwdbwd,vanilla,161.44076538085938,627.0,0.12427597492933273
