model,std,magnitude,mean,n,sem
syn_fixed,23,2.0,75.6466693966694,9,0.17236309488573973
syn_fixed,23,4.0,69.2021567021567,9,0.23613099640433544
syn_fixed,23,8.0,57.06388206388206,9,0.3367113848831628
syn_fixed,23,12.0,49.407930657930656,9,0.41597650247789636
syn_learned,3,0.0,84.43898443898443,3,0.15492164158907856
syn_learned,3,1.0,78.26747201747202,9,0.14138743341771312
syn_learned,3,2.0,72.50887250887251,9,0.33720494087506975
syn_learned,3,4.0,61.48478023478023,9,0.26641441679214
syn_learned,3,8.0,46.007371007371006,9,0.5335673070618183
syn_learned,3,12.0,38.551051051051054,9,0.5211782075964887
syn_learned,8,0.0,84.16257166257166,3,0.21468281096960046
syn_learned,8,1.0,79.34582309582309,9,0.1487524681277702
syn_learned,8,2.0,75.13650013650015,9,0.12815926778013018
syn_learned,8,4.0,65.77941577941577,9,0.2147302689189515
syn_learned,8,8.0,51.4520202020202,9,0.2909496887327268
syn_learned,8,12.0,43.78241878241878,9,0.3021523194105255
syn_learned,13,0.0,83.53808353808354,3,0.35419418288300586
syn_learned,13,1.0,78.73669123669123,9,0.15704237261099876
syn_learned,13,2.0,75.18939393939394,9,0.16166678641844723
syn_learned,13,4.0,66.05241605241605,9,0.35632382000742974
syn_learned,13,8.0,51.76255801255801,9,0.4503833910593818
syn_learned,13,12.0,43.77730002730002,9,0.41118276590861
syn_learned,18,0.0,82.9494266994267,3,0.2548605504607827
syn_learned,18,1.0,78.003003003003,9,0.09719271617968846
syn_learned,18,2.0,74.35162435162435,9,0.18042754613706027
syn_learned,18,4.0,65.0474337974338,9,0.49355819131563045
syn_learned,18,8.0,51.68577668577669,9,0.514821692475582
syn_learned,18,12.0,44.069069069069066,9,0.40201604001207497
syn_learned,23,0.0,82.62694512694513,3,0.11400008932903581
syn_learned,23,1.0,78.67526617526617,9,0.18259683642236765
syn_learned,23,2.0,75.28835653835654,9,0.363492688906535
syn_learned,23,4.0,66.53869778869779,9,0.48703549496132315
syn_learned,23,8.0,53.53876603876604,9,0.4041313986885082
syn_learned,23,12.0,45.71218946218946,9,0.43830248827683865
