model,std,magnitude,model_seed,perturb_seed,acc
ax_learned,13,1.0,1,2,79.13083538083538
ax_learned,13,2.0,1,0,75.93673218673219
ax_learned,13,2.0,1,1,75.76781326781327
ax_learned,13,2.0,1,2,76.07493857493857
ax_learned,13,4.0,1,0,70.05528255528256
ax_learned,13,4.0,1,1,69.1031941031941
ax_learned,13,4.0,1,2,69.70208845208845
ax_learned,13,8.0,1,0,56.57248157248157
ax_learned,13,8.0,1,1,56.787469287469285
ax_learned,13,8.0,1,2,56.6492628992629
ax_learned,13,12.0,1,0,48.310810810810814
ax_learned,13,12.0,1,1,48.78685503685504
ax_learned,13,12.0,1,2,48.0036855036855
ax_learned,13,0.0,2,0,82.66277641277641
ax_learned,13,1.0,2,0,79.39189189189189
ax_learned,13,1.0,2,1,79.34582309582309
ax_learned,13,1.0,2,2,79.22297297297297
ax_learned,13,2.0,2,0,76.1977886977887
ax_learned,13,2.0,2,1,75.90601965601965
ax_learned,13,2.0,2,2,76.38206388206389
ax_learned,13,4.0,2,0,68.45823095823096
ax_learned,13,4.0,2,1,68.12039312039312
ax_learned,13,4.0,2,2,68.08968058968058
ax_learned,13,8.0,2,0,55.26719901719902
ax_learned,13,8.0,2,1,55.067567567567565
ax_learned,13,8.0,2,2,55.20577395577396
ax_learned,13,12.0,2,0,46.54484029484029
ax_learned,13,12.0,2,1,46.483415233415236
ax_learned,13,12.0,2,2,47.20515970515971
ax_learned,18,0.0,0,0,82.83169533169533
ax_learned,18,1.0,0,0,79.86793611793611
ax_learned,18,1.0,0,1,78.91584766584766
ax_learned,18,1.0,0,2,79.06941031941032
ax_learned,18,2.0,0,0,77.47235872235872
ax_learned,18,2.0,0,1,75.92137592137593
ax_learned,18,2.0,0,2,76.82739557739558
ax_learned,18,4.0,0,0,68.12039312039312
ax_learned,18,4.0,0,1,68.53501228501229
ax_learned,18,4.0,0,2,67.9054054054054
ax_learned,18,8.0,0,0,53.31695331695332
ax_learned,18,8.0,0,1,53.332309582309584
ax_learned,18,8.0,0,2,53.8544226044226
ax_learned,18,12.0,0,0,45.62346437346437
ax_learned,18,12.0,0,1,45.024570024570025
ax_learned,18,12.0,0,2,45.592751842751845
ax_learned,18,0.0,1,0,81.91031941031942
ax_learned,18,1.0,1,0,78.6394348894349
ax_learned,18,1.0,1,1,78.74692874692875
ax_learned,18,1.0,1,2,78.54729729729729
ax_learned,18,2.0,1,0,76.05958230958231
ax_learned,18,2.0,1,1,75.64496314496314
ax_learned,18,2.0,1,2,75.56818181818181
ax_learned,18,4.0,1,0,67.47542997542998
ax_learned,18,4.0,1,1,67.12223587223588
ax_learned,18,4.0,1,2,67.79791154791155
ax_learned,18,8.0,1,0,53.22481572481573
ax_learned,18,8.0,1,1,53.20945945945946
ax_learned,18,8.0,1,2,52.96375921375921
ax_learned,18,12.0,1,0,45.024570024570025
ax_learned,18,12.0,1,1,45.56203931203931
ax_learned,18,12.0,1,2,44.87100737100737
ax_learned,18,0.0,2,0,83.21560196560196
ax_learned,18,1.0,2,0,79.63759213759214
ax_learned,18,1.0,2,1,79.54545454545455
ax_learned,18,1.0,2,2,80.0982800982801
ax_learned,18,2.0,2,0,77.6105651105651
ax_learned,18,2.0,2,1,76.81203931203932
ax_learned,18,2.0,2,2,77.71805896805897
ax_learned,18,4.0,2,0,70.22420147420148
ax_learned,18,4.0,2,1,70.79238329238329
ax_learned,18,4.0,2,2,70.46990171990171
ax_learned,18,8.0,2,0,57.17137592137592
ax_learned,18,8.0,2,1,56.84889434889435
ax_learned,18,8.0,2,2,57.07923832923833
ax_learned,18,12.0,2,0,48.17260442260442
ax_learned,18,12.0,2,1,47.896191646191646
ax_learned,18,12.0,2,2,48.817567567567565
ax_learned,23,0.0,0,0,82.64742014742015
ax_learned,23,1.0,0,0,78.42444717444718
ax_learned,23,1.0,0,1,78.30159705159706
ax_learned,23,1.0,0,2,78.51658476658477
ax_learned,23,2.0,0,0,75.76781326781327
ax_learned,23,2.0,0,1,74.98464373464374
ax_learned,23,2.0,0,2,75.752457002457
ax_learned,23,4.0,0,0,69.36425061425061
ax_learned,23,4.0,0,1,69.21068796068796
ax_learned,23,4.0,0,2,69.13390663390663
ax_learned,23,8.0,0,0,57.10995085995086
ax_learned,23,8.0,0,1,56.63390663390663
ax_learned,23,8.0,0,2,57.0485257985258
ax_learned,23,12.0,0,0,48.817567567567565
ax_learned,23,12.0,0,1,48.94041769041769
ax_learned,23,12.0,0,2,48.986486486486484
ax_learned,23,0.0,1,0,81.86425061425061
ax_learned,23,1.0,1,0,78.4551597051597
ax_learned,23,1.0,1,1,78.70085995085995
ax_learned,23,1.0,1,2,78.85442260442261
ax_learned,23,2.0,1,0,76.39742014742015
ax_learned,23,2.0,1,1,75.92137592137593
ax_learned,23,2.0,1,2,75.95208845208845
ax_learned,23,4.0,1,0,67.79791154791155
ax_learned,23,4.0,1,1,67.9514742014742
ax_learned,23,4.0,1,2,68.21253071253071
ax_learned,23,8.0,1,0,53.393734643734646
ax_learned,23,8.0,1,1,53.163390663390665
ax_learned,23,8.0,1,2,53.80835380835381
ax_learned,23,12.0,1,0,45.39312039312039
ax_learned,23,12.0,1,1,45.33169533169533
ax_learned,23,12.0,1,2,45.761670761670764
ax_learned,23,0.0,2,0,82.15601965601965
ax_learned,23,1.0,2,0,79.08476658476658
ax_learned,23,1.0,2,1,78.77764127764128
ax_learned,23,1.0,2,2,78.9004914004914
ax_learned,23,2.0,2,0,77.10380835380835
ax_learned,23,2.0,2,1,76.25921375921376
ax_learned,23,2.0,2,2,76.41277641277641
ax_learned,23,4.0,2,0,69.70208845208845
ax_learned,23,4.0,2,1,69.9477886977887
ax_learned,23,4.0,2,2,69.45638820638821
ax_learned,23,8.0,2,0,56.71068796068796
ax_learned,23,8.0,2,1,56.98710073710074
ax_learned,23,8.0,2,2,57.30958230958231
ax_learned,23,12.0,2,0,48.66400491400491
ax_learned,23,12.0,2,1,48.648648648648646
ax_learned,23,12.0,2,2,49.27825552825553
ax_fixed,3,0.0,0,0,82.34029484029485
ax_fixed,3,1.0,0,0,76.36670761670761
ax_fixed,3,1.0,0,1,76.56633906633907
ax_fixed,3,1.0,0,2,76.1977886977887
ax_fixed,3,2.0,0,0,71.8519656019656
ax_fixed,3,2.0,0,1,71.95945945945945
ax_fixed,3,2.0,0,2,71.75982800982801
ax_fixed,3,4.0,0,0,61.94717444717445
ax_fixed,3,4.0,0,1,62.223587223587224
ax_fixed,3,4.0,0,2,61.962530712530715
ax_fixed,3,8.0,0,0,48.74078624078624
