model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,81.88499656559709,15,0.04276989939053317
ax_fixed,0.25,81.28675628822818,15,0.10296961776598666
ax_fixed,0.5,79.5289961730939,15,0.191640891504402
ax_fixed,0.75,76.88875805449251,15,0.3031223806204702
ax_fixed,1.0,72.63173388283779,15,0.38743338088457036
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,81.95859091355118,15,0.05434002783560112
ax_learned,0.25,81.37114447388218,15,0.08155224307438864
ax_learned,0.5,79.5986654891571,15,0.18345988022074056
ax_learned,0.75,76.16589801458804,15,0.30416354224925907
ax_learned,1.0,70.05691296241781,15,0.4315341559870907
