layer,std,seed,delay_init,delay_final,delta
0,3,0,0.19932955503463745,0.6872990727424622,0.4879695177078247
0,3,1,0.22158384323120117,1.0453858375549316,0.8238019943237305
0,3,2,5.383819103240967,5.515118598937988,0.13129949569702148
0,8,0,0.5315454602241516,1.4867889881134033,0.9552435278892517
0,8,1,0.5908902287483215,0.7902266383171082,0.19933640956878662
0,8,2,14.356850624084473,14.470152854919434,0.11330223083496094
0,13,0,0.8637613654136658,1.424111247062683,0.5603498816490173
0,13,1,0.9601966142654419,1.4825671911239624,0.5223705768585205
0,13,2,23.32988166809082,23.49295997619629,0.16307830810546875
0,18,0,1.1959773302078247,0.6754915714263916,-0.5204857587814331
0,18,1,1.329503059387207,2.4738991260528564,1.1443960666656494
0,18,2,32.302913665771484,32.515708923339844,0.21279525756835938
0,23,0,1.5281932353973389,1.472856879234314,-0.0553363561630249
0,23,1,1.6988093852996826,1.0578649044036865,-0.6409444808959961
0,23,2,41.275943756103516,41.50906753540039,0.233123779296875
1,3,0,0.8837400674819946,1.7595176696777344,0.8757776021957397
1,3,1,0.49548012018203735,2.5611631870269775,2.06568306684494
1,3,2,3.8747897148132324,3.4755847454071045,-0.39920496940612793
1,8,0,2.356640100479126,3.5435144901275635,1.1868743896484375
1,8,1,1.3212803602218628,2.6077702045440674,1.2864898443222046
1,8,2,10.332772254943848,10.499014854431152,0.1662425994873047
1,13,0,3.829540252685547,4.5884552001953125,0.7589149475097656
1,13,1,2.147080659866333,3.5334417819976807,1.3863611221313477
1,13,2,16.790754318237305,16.5133056640625,-0.2774486541748047
1,18,0,5.302440166473389,5.510815620422363,0.2083754539489746
1,18,1,2.9728808403015137,3.633455991744995,0.6605751514434814
1,18,2,23.248737335205078,23.487300872802734,0.23856353759765625
1,23,0,6.7753400802612305,6.489662170410156,-0.2856779098510742
1,23,1,3.7986810207366943,3.5570168495178223,-0.24166417121887207
1,23,2,29.70672035217285,29.486400604248047,-0.2203197479248047
