model,layer,q,seed,long_only,short_only,parts,full,cross
ax_fixed,1,0.25,0,0.3303568508160737,4.145814934746345,4.476171785562419,8.324338468583386,0.46227897838899845
ax_fixed,1,0.25,1,0.3270859909070036,2.935596768390402,3.2626827592974053,4.885029274196181,0.3321057917643141
ax_fixed,1,0.25,2,0.39740947895201373,3.2103490007522972,3.607758479704311,8.697216498217378,0.5851823993982702
ax_fixed,1,0.25,3,0.48081640663330916,3.6355607889314143,4.1163771955647235,6.9816504759101194,0.41040056219254983
ax_fixed,1,0.25,4,0.4137637784973644,4.817976646060245,5.23174042455761,11.84051287083374,0.5581491712707187
ax_fixed,1,0.5,0,0.9436430837667208,1.9216301965786802,2.865273280345401,8.324338468583386,0.6557956777996071
ax_fixed,1,0.5,1,0.5838484937690017,1.5454813070356153,2.129329800804617,4.885029274196181,0.564111148309343
ax_fixed,1,0.5,2,0.8455172864946169,0.9485493736303235,1.7940666601249404,8.697216498217378,0.793719443399775
ax_fixed,1,0.5,3,1.0777483400386008,1.7073888725345938,2.7851372125731944,6.9816504759101194,0.6010775357226505
ax_fixed,1,0.5,4,1.100644359402087,1.319791973309781,2.420436332711868,11.84051287083374,0.7955801104972378
ax_fixed,1,0.75,0,1.9150884767605352,0.13737611618094547,2.0524645929414804,8.324338468583386,0.7534381139489198
ax_fixed,1,0.75,1,1.931442776305886,0.04579203872697709,1.977234815032863,4.885029274196181,0.5952460662872462
ax_fixed,1,0.75,2,2.0508291629869433,0.24694992313479247,2.2977790861217358,8.697216498217378,0.7358029334336222
ax_fixed,1,0.75,3,2.0083079841690457,0.2583979328165403,2.266705916985586,6.9816504759101194,0.6753338018271244
ax_fixed,1,0.75,4,2.364831714257676,0.039250318908836825,2.4040820331665125,11.84051287083374,0.7969613259668513
ax_fixed,2,0.25,0,0.36633630981584986,2.6821051254374737,3.0484414352533236,10.286854414025447,0.7036565977742453
ax_fixed,2,0.25,1,0.5805776338599363,2.3860923036666293,2.9666699375265657,8.497694043764099,0.650885296381833
ax_fixed,2,0.25,2,0.6590782716776195,3.3804337160239393,4.039511987701559,9.879632355346217,0.5911272968051653
ax_fixed,2,0.25,3,0.5724004840872728,2.268341346940114,2.840741831027387,10.53543976711478,0.7303632412294311
ax_fixed,2,0.25,4,0.5707650541327259,2.4678638013933827,3.0386288555261087,8.209858371765932,0.6298804780876504
ax_fixed,2,0.5,0,1.4440846498544413,1.0008831321754503,2.4449677820298916,10.286854414025447,0.7623211446740863
ax_fixed,2,0.5,1,1.6861282831256308,0.7163183200863396,2.4024466032119705,8.497694043764099,0.7172825250192469
ax_fixed,2,0.5,2,1.2592810649919812,1.406469760900137,2.6657508258921183,9.879632355346217,0.7301771229928828
ax_fixed,2,0.5,3,1.5618356065809753,0.9125699146305616,2.474405521211537,10.53543976711478,0.7651350512263264
ax_fixed,2,0.5,4,1.002518562129983,1.0319563013116142,2.0344748634415972,8.209858371765932,0.752191235059761
ax_fixed,2,0.75,0,4.474536355607886,0.019625159454416046,4.494161515062302,10.286854414025447,0.5631160572337051
