model,layer,mean,sd,n,sem
ax_fixed,1,8.145749517548161,2.5482694699114132,5,1.1396207519418549
ax_fixed,2,9.481895790403296,1.060994809624742,5,0.4744913036190742
ax_fixed,3,1.2867562882281713,0.14013926660185366,5,0.06267218528774214
ax_learned,1,10.34344029045236,1.4635871926088007,5,0.6545360907342712
ax_learned,2,12.362869198312236,1.5097519258452314,5,0.6751815870702318
ax_learned,3,1.4947829784450326,0.1774196546097007,5,0.07934448165036492
