model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,82.11722761914106,15,0.04308144154085832
ax_fixed,0.25,81.96807640728748,15,0.038164882627225616
ax_fixed,0.5,80.6250613286233,15,0.1291655437154056
ax_fixed,0.75,78.36457004546494,15,0.24171227925412372
ax_fixed,1.0,73.96788015569292,15,0.6829316594132465
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,82.41978216073007,15,0.05398447866574717
ax_learned,0.25,82.33081477120335,15,0.0439058229270464
ax_learned,0.5,81.1153632289929,15,0.07795182381771451
ax_learned,0.75,76.90380401007425,15,0.19718092727052441
ax_learned,1.0,72.0763418702777,15,0.5153619435405737
