model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,82.11526510319564,15,0.043231775202395066
ax_fixed,0.25,81.95237627972394,15,0.04037567732325314
ax_fixed,0.5,81.7639747489615,15,0.05477842927188995
ax_fixed,0.75,81.32240866123703,15,0.0549330603252907
ax_fixed,1.0,80.82687338501292,15,0.06486147835155795
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,82.37235469204853,15,0.05382002372055627
ax_learned,0.25,82.21437215844045,15,0.04226376294171465
ax_learned,0.5,81.90887384293332,15,0.043163313490020144
ax_learned,0.75,81.38651751545481,15,0.047876176920282634
ax_learned,1.0,80.92499918228503,15,0.04664568652184554
