model,rounding,std,mean,sd,n,sem
ax_learned,rounded,3,83.52784602784602,0.25573292376732837,3,0.14764747237771708
ax_learned,rounded,8,83.07739557739558,0.9956735305557336,3,0.5748523808913379
ax_learned,rounded,13,82.9494266994267,0.5781248117729625,3,0.33378051570232165
ax_learned,rounded,18,82.6525389025389,0.6708303860606593,3,0.3873041039727022
ax_learned,rounded,23,82.22256347256346,0.3958025884976147,3,0.22851673101504852
ax_learned,unrounded,3,82.93918918918918,0.35980879956571793,3,0.20773570728606336
ax_learned,unrounded,8,83.46130221130221,0.4389313859937483,3,0.2534171538592661
ax_learned,unrounded,13,83.34357084357084,0.19745394678528005,3,0.11400008932903549
ax_learned,unrounded,18,82.29934479934481,0.4493730600673284,3,0.2594456571964379
ax_learned,unrounded,23,82.0945945945946,0.3173215343945259,3,0.1832056733023446
syn_learned,rounded,3,84.43898443898443,0.2683321544242597,3,0.15492164158907856
syn_learned,rounded,8,84.16257166257166,0.3718415361110531,3,0.21468281096960046
syn_learned,rounded,13,83.53808353808354,0.6134823204987089,3,0.35419418288300586
syn_learned,rounded,18,82.9494266994267,0.44143142224304727,3,0.2548605504607827
syn_learned,rounded,23,82.62694512694513,0.1974539467852806,3,0.11400008932903581
syn_learned,unrounded,3,85.22215397215398,0.14514175756304065,3,0.08379763279967693
syn_learned,unrounded,8,84.8433660933661,0.47752800385338656,3,0.2757009215703374
syn_learned,unrounded,13,84.08067158067159,0.17798258241926262,3,0.10275829187082604
syn_learned,unrounded,18,83.67628992628993,0.09589984641274736,3,0.05536780214164346
syn_learned,unrounded,23,83.16953316953317,0.49783676527786264,3,0.28742619044566653
