model,regime,mean,sd,n,sem,delta
ax_learned,fractional,85.744,1.4928094319101817,5,0.667604673440802,0.0
ax_learned,posthoc,69.088,4.234397241639002,5,1.893680015208482,-16.656000000000006
ax_learned,rounded,82.548,1.8665261851900206,5,0.8347358863736494,-3.195999999999998
syn_learned,fractional,85.00399999999999,0.8518685344582236,5,0.38096719018834196,0.0
syn_learned,posthoc,73.152,2.225111233174649,5,0.99509999497538,-11.85199999999999
syn_learned,rounded,83.6,1.515717651807222,5,0.6778495408274611,-1.4039999999999964
