model,std,magnitude,model_seed,perturb_seed,acc
syn_learned,3,4,0,0,64.89557739557739
syn_learned,3,1,1,0,84.36732186732186
syn_learned,3,2,1,0,80.72788697788698
syn_learned,3,3,1,0,71.22235872235872
syn_learned,3,4,1,0,65.47911547911548
syn_learned,3,1,2,0,84.21375921375922
syn_learned,3,2,2,0,80.37469287469287
syn_learned,3,3,2,0,70.08599508599508
syn_learned,3,4,2,0,64.88022113022113
syn_learned,8,1,0,0,84.32125307125307
syn_learned,8,2,0,0,80.72788697788698
syn_learned,8,3,0,0,72.72727272727273
syn_learned,8,4,0,0,66.58476658476658
syn_learned,8,1,1,0,84.42874692874693
syn_learned,8,2,1,0,82.0945945945946
syn_learned,8,3,1,0,72.55835380835381
syn_learned,8,4,1,0,65.84766584766585
syn_learned,8,1,2,0,83.737714987715
syn_learned,8,2,2,0,81.57248157248158
syn_learned,8,3,2,0,72.57371007371007
syn_learned,8,4,2,0,66.03194103194103
syn_learned,13,1,0,0,83.69164619164619
syn_learned,13,2,0,0,80.92751842751842
syn_learned,13,3,0,0,71.80589680589681
syn_learned,13,4,0,0,65.54054054054055
syn_learned,13,1,1,0,84.06019656019656
syn_learned,13,2,1,0,80.9428746928747
syn_learned,13,3,1,0,72.512285012285
syn_learned,13,4,1,0,66.43120393120392
syn_learned,13,1,2,0,82.86240786240786
syn_learned,13,2,2,0,79.99078624078624
syn_learned,13,3,2,0,72.1590909090909
syn_learned,13,4,2,0,66.15479115479116
syn_learned,18,1,0,0,83.01597051597052
syn_learned,18,2,0,0,79.36117936117937
syn_learned,18,3,0,0,71.79054054054055
syn_learned,18,4,0,0,65.49447174447174
syn_learned,18,1,1,0,83.35380835380835
syn_learned,18,2,1,0,80.08292383292384
syn_learned,18,3,1,0,71.71375921375922
syn_learned,18,4,1,0,65.49447174447174
syn_learned,18,1,2,0,82.47850122850123
syn_learned,18,2,2,0,79.31511056511056
syn_learned,18,3,2,0,72.28194103194103
syn_learned,18,4,2,0,66.41584766584766
syn_learned,23,1,0,0,82.7088452088452
syn_learned,23,2,0,0,80.88144963144963
syn_learned,23,3,0,0,72.83476658476658
syn_learned,23,4,0,0,66.7536855036855
syn_learned,23,1,1,0,82.77027027027027
syn_learned,23,2,1,0,80.1443488943489
syn_learned,23,3,1,0,72.6965601965602
syn_learned,23,4,1,0,65.89373464373465
syn_learned,23,1,2,0,82.4017199017199
syn_learned,23,2,2,0,79.57616707616708
syn_learned,23,3,2,0,72.95761670761671
syn_learned,23,4,2,0,65.81695331695332
syn_fixed,3,1,0,0,82.78562653562653
syn_fixed,3,2,0,0,78.86977886977887
syn_fixed,3,3,0,0,69.88636363636364
syn_fixed,3,4,0,0,64.41953316953317
syn_fixed,3,1,1,0,82.0485257985258
syn_fixed,3,2,1,0,78.43980343980344
syn_fixed,3,3,1,0,69.22604422604422
syn_fixed,3,4,1,0,62.74570024570025
syn_fixed,3,1,2,0,81.54176904176904
syn_fixed,3,2,2,0,77.85626535626535
syn_fixed,3,3,2,0,69.80958230958231
syn_fixed,3,4,2,0,63.06818181818182
syn_fixed,8,1,0,0,82.72420147420148
syn_fixed,8,2,0,0,80.31326781326781
syn_fixed,8,3,0,0,72.98832923832924
syn_fixed,8,4,0,0,66.56941031941032
syn_fixed,8,1,1,0,82.73955773955774
syn_fixed,8,2,1,0,79.7911547911548
syn_fixed,8,3,1,0,72.57371007371007
syn_fixed,8,4,1,0,65.81695331695332
syn_fixed,8,1,2,0,83.2002457002457
syn_fixed,8,2,2,0,80.4514742014742
syn_fixed,8,3,2,0,73.67936117936118
syn_fixed,8,4,2,0,66.7997542997543
syn_fixed,13,1,0,0,82.8470515970516
syn_fixed,13,2,0,0,79.39189189189189
syn_fixed,13,3,0,0,72.43550368550369
syn_fixed,13,4,0,0,66.01658476658477
syn_fixed,13,1,1,0,81.84889434889435
syn_fixed,13,2,1,0,79.86793611793611
syn_fixed,13,3,1,0,74.01719901719902
syn_fixed,13,4,1,0,67.5982800982801
syn_fixed,13,1,2,0,82.4017199017199
syn_fixed,13,2,2,0,80.12899262899263
syn_fixed,13,3,2,0,73.18796068796068
syn_fixed,13,4,2,0,66.38513513513513
syn_fixed,18,1,0,0,81.77211302211302
syn_fixed,18,2,0,0,80.03685503685503
syn_fixed,18,3,0,0,74.30896805896806
syn_fixed,18,4,0,0,67.93611793611794
syn_fixed,18,1,1,0,82.18673218673219
syn_fixed,18,2,1,0,80.22113022113022
syn_fixed,18,3,1,0,75.19963144963145
syn_fixed,18,4,1,0,68.01289926289927
syn_fixed,18,1,2,0,81.6031941031941
syn_fixed,18,2,2,0,78.22481572481573
syn_fixed,18,3,2,0,73.20331695331696
syn_fixed,18,4,2,0,67.65970515970515
syn_fixed,23,1,0,0,81.54176904176904
syn_fixed,23,2,0,0,79.77579852579852
syn_fixed,23,3,0,0,74.58538083538083
syn_fixed,23,4,0,0,67.39864864864865
syn_fixed,23,1,1,0,80.77395577395578
syn_fixed,23,2,1,0,79.00798525798525
syn_fixed,23,3,1,0,73.01904176904176
syn_fixed,23,4,1,0,66.52334152334153
syn_fixed,23,1,2,0,81.80282555282555
syn_fixed,23,2,2,0,79.46867321867322
syn_fixed,23,3,2,0,74.29361179361179
syn_fixed,23,4,2,0,68.21253071253071
