model,layer,mean,std,count,sem
ax_fixed,1,7.183517265319824,0.36148782150641606,5,0.16166226838533135
ax_fixed,2,7.312684822082519,0.3406388034710297,5,0.15233830406708274
ax_fixed,3,6.96439905166626,0.1878693271601366,5,0.0840177172834426
ax_learned,1,10.34506015777588,0.5231142631160576,5,0.23394381046544313
ax_learned,2,9.51759967803955,0.43616496359006374,5,0.19505890159822065
ax_learned,3,8.357747077941895,0.3213865902940184,5,0.14372845259085984
syn_fixed,1,7.228473854064942,0.01269292549553311,5,0.0056764488482704475
syn_fixed,2,7.262663841247559,0.017159086994745033,5,0.007673776990416494
syn_fixed,3,7.231048107147217,0.014946871924665466,5,0.006684444334907019
syn_learned,1,9.33814353942871,0.02711439473905314,5,0.0121259259610571
syn_learned,2,9.333251762390137,0.0373973897652917,5,0.01672462113924943
syn_learned,3,9.09858570098877,0.049803494975558533,5,0.022272800056483622
