sweep,value,T,B,N,D,sigma,L,regime,mode,time_ms,mem_mib,firing
B,128.0,250,128,256,25,1.0,29,fwd,triton_exact,43.18412780761719,160.2822265625,0.11635498702526093
B,128.0,250,128,256,25,1.0,29,fwd,eventdriven,44.80307388305664,128.154296875,0.11635498702526093
B,128.0,250,128,256,25,1.0,29,fwdbwd,v2,235.8753204345703,1069.98876953125,0.11635498702526093
B,128.0,250,128,256,25,1.0,29,fwdbwd,v1,446.8387756347656,1043.96142578125,0.11635498702526093
B,128.0,250,128,256,25,1.0,29,fwdbwd,triton_exact,219.62649536132812,350.56298828125,0.11635498702526093
B,128.0,250,128,256,25,1.0,29,fwdbwd,eventdriven,241.46432495117188,350.68798828125,0.11635498702526093
B,256.0,250,256,256,25,1.0,29,fwd,v2,116.09394836425781,257.556640625,0.11647504568099976
B,256.0,250,256,256,25,1.0,29,fwd,v1,188.36265563964844,209.529296875,0.11647504568099976
B,256.0,250,256,256,25,1.0,29,fwd,triton_exact,57.14739227294922,312.7822265625,0.11647504568099976
B,256.0,250,256,256,25,1.0,29,fwd,eventdriven,89.6174087524414,250.029296875,0.11647504568099976
B,256.0,250,256,256,25,1.0,29,fwdbwd,v2,273.39666748046875,2138.36376953125,0.11647504568099976
B,256.0,250,256,256,25,1.0,29,fwdbwd,v1,868.9561767578125,2084.33642578125,0.11647504568099976
B,256.0,250,256,256,25,1.0,29,fwdbwd,triton_exact,282.9873046875,626.56298828125,0.11647504568099976
B,256.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,323.4835205078125,626.81298828125,0.11647504568099976
B,512.0,250,512,256,25,1.0,29,fwd,v2,182.26278686523438,516.056640625,0.11652545630931854
B,512.0,250,512,256,25,1.0,29,fwd,v1,342.3795166015625,420.029296875,0.11652545630931854
B,512.0,250,512,256,25,1.0,29,fwd,triton_exact,51.9024658203125,630.2822265625,0.11652545630931854
B,512.0,250,512,256,25,1.0,29,fwd,eventdriven,209.69676208496094,503.029296875,0.11652545630931854
B,512.0,250,512,256,25,1.0,29,fwdbwd,v2,448.8826904296875,4265.61376953125,0.11652545630931854
B,512.0,250,512,256,25,1.0,29,fwdbwd,v1,1608.974365234375,4169.58642578125,0.11652545630931854
B,512.0,250,512,256,25,1.0,29,fwdbwd,triton_exact,378.7632751464844,1195.81298828125,0.11652545630931854
B,512.0,250,512,256,25,1.0,29,fwdbwd,eventdriven,551.2969970703125,1196.31298828125,0.11652545630931854
N,64.0,250,256,64,25,1.0,29,fwd,v2,87.26937866210938,64.76513671875,0.11819776147603989
N,64.0,250,256,64,25,1.0,29,fwd,v1,101.2459487915039,52.75830078125,0.11819776147603989
N,64.0,250,256,64,25,1.0,29,fwd,triton_exact,12.579839706420898,80.02490234375,0.11819776147603989
N,64.0,250,256,64,25,1.0,29,fwd,eventdriven,23.724031448364258,64.0703125,0.11819776147603989
N,64.0,250,256,64,25,1.0,29,fwdbwd,v2,229.38726806640625,546.2177734375,0.11819776147603989
N,64.0,250,256,64,25,1.0,29,fwdbwd,v1,330.9373474121094,523.6484375,0.11819776147603989
N,64.0,250,256,64,25,1.0,29,fwdbwd,triton_exact,34.86412811279297,151.8154296875,0.11819776147603989
N,64.0,250,256,64,25,1.0,29,fwdbwd,eventdriven,49.40288162231445,151.8779296875,0.11819776147603989
N,128.0,250,256,128,25,1.0,29,fwd,v2,107.71968078613281,129.52880859375,0.12009155750274658
N,128.0,250,256,128,25,1.0,29,fwd,v1,129.53273010253906,105.51513671875,0.12009155750274658
N,128.0,250,256,128,25,1.0,29,fwd,triton_exact,16.501728057861328,160.07861328125,0.12009155750274658
N,128.0,250,256,128,25,1.0,29,fwd,eventdriven,38.47782516479492,128.1396484375,0.12009155750274658
N,128.0,250,256,128,25,1.0,29,fwdbwd,v2,273.72442626953125,1069.9326171875,0.12009155750274658
N,128.0,250,256,128,25,1.0,29,fwdbwd,v1,417.3670349121094,1043.9189453125,0.12009155750274658
N,128.0,250,256,128,25,1.0,29,fwdbwd,triton_exact,67.78572845458984,350.3447265625,0.12009155750274658
N,128.0,250,256,128,25,1.0,29,fwdbwd,eventdriven,88.66070556640625,350.4697265625,0.12009155750274658
N,256.0,250,256,256,25,1.0,29,fwd,v2,111.75743865966797,257.556640625,0.11647504568099976
N,256.0,250,256,256,25,1.0,29,fwd,v1,191.64364624023438,209.529296875,0.11647504568099976
N,256.0,250,256,256,25,1.0,29,fwd,triton_exact,49.441566467285156,312.7822265625,0.11647504568099976
N,256.0,250,256,256,25,1.0,29,fwd,eventdriven,102.92633819580078,250.029296875,0.11647504568099976
N,256.0,250,256,256,25,1.0,29,fwdbwd,v2,254.09024047851562,2138.36376953125,0.11647504568099976
N,256.0,250,256,256,25,1.0,29,fwdbwd,v1,873.4638061523438,2084.33642578125,0.11647504568099976
N,256.0,250,256,256,25,1.0,29,fwdbwd,triton_exact,285.9346008300781,626.56298828125,0.11647504568099976
N,256.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,332.8225402832031,626.81298828125,0.11647504568099976
N,512.0,250,256,512,25,1.0,29,fwd,v2,170.8564453125,516.1123046875,0.11655423790216446
N,512.0,250,256,512,25,1.0,29,fwd,v1,401.3219909667969,420.0576171875,0.11655423790216446
N,512.0,250,256,512,25,1.0,29,fwd,triton_exact,160.1998748779297,631.064453125,0.11655423790216446
N,512.0,250,256,512,25,1.0,29,fwd,eventdriven,330.6270751953125,503.05859375,0.11655496805906296
N,512.0,250,256,512,25,1.0,29,fwdbwd,v2,445.8229675292969,4265.72607421875,0.11655423790216446
N,512.0,250,256,512,25,1.0,29,fwdbwd,v1,1817.0439453125,4169.67138671875,0.11655423790216446
N,512.0,250,256,512,25,1.0,29,fwdbwd,triton_exact,,,
N,512.0,250,256,512,25,1.0,29,fwdbwd,eventdriven,,,
N,1024.0,250,256,1024,25,1.0,29,fwd,v2,344.4592590332031,1030.2236328125,0.11792310327291489
N,1024.0,250,256,1024,25,1.0,29,fwd,v1,1049.7249755859375,838.1142578125,0.11792293190956116
N,1024.0,250,256,1024,25,1.0,29,fwd,triton_exact,2850.681884765625,1254.12890625,0.11792325228452682
N,1024.0,250,256,1024,25,1.0,29,fwd,eventdriven,1168.9810791015625,1001.1171875,0.11792407929897308
N,1024.0,250,256,1024,25,1.0,29,fwdbwd,v2,884.1492309570312,8529.45068359375,0.11792310327291489
N,1024.0,250,256,1024,25,1.0,29,fwdbwd,v1,4201.03076171875,8528.34130859375,0.11792293190956116
N,1024.0,250,256,1024,25,1.0,29,fwdbwd,triton_exact,,,
N,1024.0,250,256,1024,25,1.0,29,fwdbwd,eventdriven,,,
D,5.0,250,256,256,5,1.0,9,fwd,v2,77.69087982177734,252.517578125,0.11677368730306625
D,5.0,250,256,256,5,1.0,9,fwd,v1,85.64224243164062,194.509765625,0.11677368730306625
D,5.0,250,256,256,5,1.0,9,fwd,triton_exact,22.047744750976562,312.7626953125,0.11677368730306625
D,5.0,250,256,256,5,1.0,9,fwd,eventdriven,50.510719299316406,250.009765625,0.11677368730306625
D,5.0,250,256,256,5,1.0,9,fwdbwd,v2,221.22496032714844,879.16064453125,0.11677368730306625
D,5.0,250,256,256,5,1.0,9,fwdbwd,v1,322.05108642578125,827.52783203125,0.11677368730306625
D,5.0,250,256,256,5,1.0,9,fwdbwd,triton_exact,196.95513916015625,626.52392578125,0.11677368730306625
D,5.0,250,256,256,5,1.0,9,fwdbwd,eventdriven,234.16831970214844,626.77392578125,0.11677368730306625
D,10.0,250,256,256,10,1.0,14,fwd,v2,77.05907440185547,254.27734375,0.1168883740901947
D,10.0,250,256,256,10,1.0,14,fwd,v1,112.72396850585938,198.2646484375,0.1168883740901947
D,10.0,250,256,256,10,1.0,14,fwd,triton_exact,30.908416748046875,312.767578125,0.1168883740901947
D,10.0,250,256,256,10,1.0,14,fwd,eventdriven,68.08370971679688,250.0146484375,0.1168883740901947
D,10.0,250,256,256,10,1.0,14,fwdbwd,v2,224.3092498779297,1201.05517578125,0.1168883740901947
D,10.0,250,256,256,10,1.0,14,fwdbwd,v1,401.31072998046875,1142.54248046875,0.1168883740901947
D,10.0,250,256,256,10,1.0,14,fwdbwd,triton_exact,216.5391387939453,626.53369140625,0.1168883740901947
D,10.0,250,256,256,10,1.0,14,fwdbwd,eventdriven,250.27481079101562,626.78369140625,0.1168883740901947
D,25.0,250,256,256,25,1.0,29,fwd,v2,103.55506896972656,257.556640625,0.11647504568099976
D,25.0,250,256,256,25,1.0,29,fwd,v1,159.08352661132812,209.529296875,0.11647504568099976
D,25.0,250,256,256,25,1.0,29,fwd,triton_exact,44.34739303588867,312.7822265625,0.11647504568099976
D,25.0,250,256,256,25,1.0,29,fwd,eventdriven,87.583740234375,250.029296875,0.11647504568099976
D,25.0,250,256,256,25,1.0,29,fwdbwd,v2,269.96734619140625,2138.36376953125,0.11647504568099976
D,25.0,250,256,256,25,1.0,29,fwdbwd,v1,865.6270141601562,2084.33642578125,0.11647504568099976
D,25.0,250,256,256,25,1.0,29,fwdbwd,triton_exact,286.6473083496094,626.56298828125,0.11647504568099976
D,25.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,286.4076843261719,626.81298828125,0.11647504568099976
D,50.0,250,256,256,50,1.0,54,fwd,v2,154.9127655029297,263.85546875,0.11564245820045471
D,50.0,250,256,256,50,1.0,54,fwd,v1,292.8486328125,228.3037109375,0.11564245820045471
D,50.0,250,256,256,50,1.0,54,fwd,triton_exact,74.29529571533203,312.806640625,0.11564245820045471
D,50.0,250,256,256,50,1.0,54,fwd,eventdriven,157.9356231689453,250.0537109375,0.11564245820045471
D,50.0,250,256,256,50,1.0,54,fwdbwd,v2,400.9072570800781,3869.21142578125,0.11564245820045471
D,50.0,250,256,256,50,1.0,54,fwdbwd,v1,1480.44189453125,3777.65966796875,0.11564245820045471
D,50.0,250,256,256,50,1.0,54,fwdbwd,triton_exact,374.9017639160156,626.61181640625,0.11564245820045471
D,50.0,250,256,256,50,1.0,54,fwdbwd,eventdriven,456.34149169921875,626.86181640625,0.11564245820045471
D,100.0,250,256,256,100,1.0,104,fwd,v2,259.478515625,276.453125,0.11402087658643723
D,100.0,250,256,256,100,1.0,104,fwd,v1,491.9521179199219,281.3525390625,0.11402087658643723
D,100.0,250,256,256,100,1.0,104,fwd,triton_exact,135.54074096679688,312.85546875,0.11402087658643723
D,100.0,250,256,256,100,1.0,104,fwd,eventdriven,218.32293701171875,250.1025390625,0.11402087658643723
D,100.0,250,256,256,100,1.0,104,fwdbwd,v2,654.2633056640625,6898.40673828125,0.11402087658643723
D,100.0,250,256,256,100,1.0,104,fwdbwd,v1,2567.678955078125,6828.30615234375,0.11402087658643723
D,100.0,250,256,256,100,1.0,104,fwdbwd,triton_exact,542.4517211914062,626.70947265625,0.11402087658643723
D,100.0,250,256,256,100,1.0,104,fwdbwd,eventdriven,581.2192993164062,626.95947265625,0.11402087658643723
sigma,0.0,250,256,256,25,0.0,28,fwd,v2,111.76959991455078,257.5546875,0.11980652064085007
sigma,0.0,250,256,256,25,0.0,28,fwd,v1,184.12850952148438,208.7783203125,0.11980652064085007
sigma,0.0,250,256,256,25,0.0,28,fwd,triton_exact,49.6097297668457,312.78125,0.11980652064085007
sigma,0.0,250,256,256,25,0.0,28,fwd,eventdriven,85.46099090576172,250.0283203125,0.11980395764112473
sigma,0.0,250,256,256,25,0.0,28,fwdbwd,v2,272.5539855957031,2069.85986328125,0.11980652064085007
sigma,0.0,250,256,256,25,0.0,28,fwdbwd,v1,824.8914184570312,2028.08349609375,0.11980652064085007
sigma,0.0,250,256,256,25,0.0,28,fwdbwd,triton_exact,271.4050598144531,626.56103515625,0.11980652064085007
sigma,0.0,250,256,256,25,0.0,28,fwdbwd,eventdriven,303.7368469238281,626.81103515625,0.11980395764112473
sigma,1.0,250,256,256,25,1.0,29,fwd,v2,109.41542053222656,257.556640625,0.11647504568099976
sigma,1.0,250,256,256,25,1.0,29,fwd,v1,195.55430603027344,209.529296875,0.11647504568099976
sigma,1.0,250,256,256,25,1.0,29,fwd,triton_exact,49.61075210571289,312.7822265625,0.11647504568099976
sigma,1.0,250,256,256,25,1.0,29,fwd,eventdriven,99.61881256103516,250.029296875,0.11647504568099976
sigma,1.0,250,256,256,25,1.0,29,fwdbwd,v2,279.6963806152344,2138.36376953125,0.11647504568099976
sigma,1.0,250,256,256,25,1.0,29,fwdbwd,v1,867.5225830078125,2084.33642578125,0.11647504568099976
sigma,1.0,250,256,256,25,1.0,29,fwdbwd,triton_exact,279.8622741699219,626.56298828125,0.11647504568099976
sigma,1.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,323.8389892578125,626.81298828125,0.11647504568099976
sigma,2.0,250,256,256,25,2.0,30,fwd,v2,95.48595428466797,257.80859375,0.11448291689157486
sigma,2.0,250,256,256,25,2.0,30,fwd,v1,180.672607421875,210.2802734375,0.11448291689157486
sigma,2.0,250,256,256,25,2.0,30,fwd,triton_exact,49.176448822021484,312.783203125,0.11448291689157486
sigma,2.0,250,256,256,25,2.0,30,fwd,eventdriven,107.53107452392578,250.0302734375,0.11448291689157486
sigma,2.0,250,256,256,25,2.0,30,fwdbwd,v2,277.6975402832031,2195.11767578125,0.11448291689157486
sigma,2.0,250,256,256,25,2.0,30,fwdbwd,v1,902.4050903320312,2147.58935546875,0.11448291689157486
sigma,2.0,250,256,256,25,2.0,30,fwdbwd,triton_exact,267.43603515625,626.56494140625,0.11448291689157486
sigma,2.0,250,256,256,25,2.0,30,fwdbwd,eventdriven,339.1600646972656,626.81494140625,0.11448291689157486
sigma,4.0,250,256,256,25,4.0,32,fwd,v2,117.66989135742188,258.3125,0.11220148205757141
sigma,4.0,250,256,256,25,4.0,32,fwd,v1,208.77413940429688,211.7822265625,0.11220148205757141
sigma,4.0,250,256,256,25,4.0,32,fwd,triton_exact,63.36511993408203,312.78515625,0.11220148205757141
sigma,4.0,250,256,256,25,4.0,32,fwd,eventdriven,121.8314208984375,250.0322265625,0.11220148205757141
sigma,4.0,250,256,256,25,4.0,32,fwdbwd,v2,286.0421142578125,2320.62548828125,0.11220148205757141
sigma,4.0,250,256,256,25,4.0,32,fwdbwd,v1,933.528564453125,2274.09521484375,0.11220148205757141
sigma,4.0,250,256,256,25,4.0,32,fwdbwd,triton_exact,293.1271667480469,626.56884765625,0.11220148205757141
sigma,4.0,250,256,256,25,4.0,32,fwdbwd,eventdriven,315.16571044921875,626.81884765625,0.11220148205757141
sigma,8.0,250,256,256,25,8.0,36,fwd,v2,118.35289764404297,259.3203125,0.10993652790784836
sigma,8.0,250,256,256,25,8.0,36,fwd,v1,230.07334899902344,214.7861328125,0.10993652790784836
sigma,8.0,250,256,256,25,8.0,36,fwd,triton_exact,62.16396713256836,312.7890625,0.10993652790784836
sigma,8.0,250,256,256,25,8.0,36,fwd,eventdriven,188.97232055664062,250.0361328125,0.10993652790784836
sigma,8.0,250,256,256,25,8.0,36,fwdbwd,v2,308.927490234375,2571.64111328125,0.10993652790784836
sigma,8.0,250,256,256,25,8.0,36,fwdbwd,v1,1020.9730834960938,2534.10693359375,0.10993652790784836
sigma,8.0,250,256,256,25,8.0,36,fwdbwd,triton_exact,300.40167236328125,626.57666015625,0.10993652790784836
sigma,8.0,250,256,256,25,8.0,36,fwdbwd,eventdriven,435.17132568359375,626.82666015625,0.10993652790784836
