model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,81.91443430477872,15,0.0509206214835903
ax_fixed,0.25,81.5637981225264,15,0.06587120678434268
ax_fixed,0.5,80.72286003990449,15,0.1024882528159216
ax_fixed,0.75,78.41624963202825,15,0.2227421633570778
ax_fixed,1.0,72.63173388283779,15,0.38743338088457036
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,82.17119680764073,15,0.057901479713264675
ax_learned,0.25,81.64458836228044,15,0.0859040510781303
ax_learned,0.5,79.89435122493704,15,0.1318909402981722
ax_learned,0.75,76.91459784777417,15,0.2968730960673356
ax_learned,1.0,70.05691296241781,15,0.4315341559870907
