delay_type,mode,std,mean,sd,n,sem
axonal,nearest,3,83.52784602784602,0.25573292376732837,3,0.14764747237771708
axonal,nearest,8,83.07739557739558,0.9956735305557336,3,0.5748523808913379
axonal,nearest,13,82.9494266994267,0.5781248117729625,3,0.33378051570232165
axonal,nearest,18,82.6525389025389,0.6708303860606593,3,0.3873041039727022
axonal,nearest,23,82.22256347256346,0.3958025884976147,3,0.22851673101504852
axonal,ste,3,82.92895167895168,0.20449410683291067,3,0.11806472762767307
axonal,ste,8,82.90847665847666,0.5111583838173637,3,0.295117430495489
axonal,ste,13,82.62694512694513,0.3523027601877491,3,0.2034020934306451
axonal,ste,18,81.82330057330057,0.3185576962019187,3,0.1839193716546048
axonal,ste,23,81.64414414414415,0.5196986136976702,3,0.30004813451582524
axonal,stochastic,3,82.52457002457002,0.21771263634456361,3,0.12569644919951692
axonal,stochastic,8,82.53992628992629,0.6407446574024901,3,0.36993410043314223
axonal,stochastic,13,82.16625716625717,0.37688083812858786,3,0.21759225334595197
axonal,stochastic,18,82.08947583947584,0.3806165324533453,3,0.21974905746996087
axonal,stochastic,23,81.78746928746928,0.17709709144149957,3,0.10224705341644955
synaptic,nearest,3,84.43898443898443,0.2683321544242597,3,0.15492164158907856
synaptic,nearest,8,84.16257166257166,0.3718415361110531,3,0.21468281096960046
synaptic,nearest,13,83.53808353808354,0.6134823204987089,3,0.35419418288300586
synaptic,nearest,18,82.9494266994267,0.44143142224304727,3,0.2548605504607827
synaptic,nearest,23,82.62694512694513,0.1974539467852806,3,0.11400008932903581
synaptic,ste,3,84.13697788697789,0.9028909457057126,3,0.521284330552069
synaptic,ste,8,84.6590909090909,0.0958998464127613,3,0.055367802141651504
synaptic,ste,13,83.81961506961507,0.4212023254948934,3,0.2431812760077731
synaptic,ste,18,83.21560196560198,0.6592471724098798,3,0.38061653245334376
synaptic,ste,23,82.74467649467648,0.20041740326015067,3,0.11571104172253378
synaptic,stochastic,3,83.8503276003276,0.32260342458208646,3,0.18625517402396277
synaptic,stochastic,8,83.92199017199017,0.14809046008895638,3,0.0855000669967745
synaptic,stochastic,13,83.17465192465193,0.3396941036657845,3,0.19612248219356934
synaptic,stochastic,18,82.94430794430794,0.23905189248229816,3,0.13801667447494434
synaptic,stochastic,23,82.15090090090091,0.4228785739623804,3,0.2441490585117054
