kind,sweep,value,T,B,N,D,sigma,L,regime,mode,time_ms,mem_mib,firing
synaptic,B,32.0,250,32,256,25,1.0,29,fwdbwd,vanilla,138.86770629882812,39.125,0.12418653070926666
synaptic,B,64.0,250,64,256,25,1.0,29,fwd,v2,80.0143051147461,86.1875,0.11659912765026093
synaptic,B,64.0,250,64,256,25,1.0,29,fwd,v1,164.5043487548828,59.5,0.11659912765026093
synaptic,B,64.0,250,64,256,25,1.0,29,fwd,eventdriven,14.18342399597168,34.4404296875,0.11659912765026093
synaptic,B,64.0,250,64,256,25,1.0,29,fwd,vanilla,64.3082275390625,47.375,0.12440918385982513
synaptic,B,64.0,250,64,256,25,1.0,29,fwdbwd,v2,192.8089599609375,569.31298828125,0.11659912765026093
synaptic,B,64.0,250,64,256,25,1.0,29,fwdbwd,v1,392.5915222167969,1893.87548828125,0.11659912765026093
synaptic,B,64.0,250,64,256,25,1.0,29,fwdbwd,eventdriven,53.70675277709961,116.87841796875,0.11659912765026093
synaptic,B,64.0,250,64,256,25,1.0,29,fwdbwd,vanilla,153.6573486328125,78.625,0.12440918385982513
synaptic,B,128.0,250,128,256,25,1.0,29,fwd,v2,80.65843200683594,150.875,0.11633887141942978
synaptic,B,128.0,250,128,256,25,1.0,29,fwd,v1,162.95919799804688,109.125,0.11633887141942978
synaptic,B,128.0,250,128,256,25,1.0,29,fwd,eventdriven,26.74278450012207,68.3779296875,0.11633887141942978
synaptic,B,128.0,250,128,256,25,1.0,29,fwd,vanilla,64.1085433959961,94.75,0.12420227378606796
synaptic,B,128.0,250,128,256,25,1.0,29,fwdbwd,v2,191.8760986328125,1072.62548828125,0.11633887141942978
synaptic,B,128.0,250,128,256,25,1.0,29,fwdbwd,v1,393.1760559082031,1961.00048828125,0.11633887141942978
synaptic,B,128.0,250,128,256,25,1.0,29,fwdbwd,eventdriven,80.65945434570312,180.94091796875,0.11633887141942978
synaptic,B,128.0,250,128,256,25,1.0,29,fwdbwd,vanilla,151.37075805664062,157.25,0.12420227378606796
synaptic,B,256.0,250,256,256,25,1.0,29,fwd,v2,68.61312103271484,278.75,0.11645007878541946
synaptic,B,256.0,250,256,256,25,1.0,29,fwd,v1,149.97401428222656,209.5,0.11645007878541946
synaptic,B,256.0,250,256,256,25,1.0,29,fwd,eventdriven,159.1173095703125,133.2529296875,0.11645007878541946
synaptic,B,256.0,250,256,256,25,1.0,29,fwd,vanilla,51.46633529663086,188.0,0.12425623089075089
synaptic,B,256.0,250,256,256,25,1.0,29,fwdbwd,v2,174.15884399414062,2107.75048828125,0.11645007878541946
synaptic,B,256.0,250,256,256,25,1.0,29,fwdbwd,v1,437.3729248046875,2091.50048828125,0.11645007878541946
synaptic,B,256.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,262.0948486328125,312.7529296875,0.11645007878541946
synaptic,B,256.0,250,256,256,25,1.0,29,fwdbwd,vanilla,131.59103393554688,313.0,0.12425623089075089
synaptic,B,512.0,250,512,256,25,1.0,29,fwd,v2,80.9717788696289,537.0,0.11649802327156067
synaptic,B,512.0,250,512,256,25,1.0,29,fwd,v1,163.44473266601562,412.75,0.11649802327156067
synaptic,B,512.0,250,512,256,25,1.0,29,fwd,eventdriven,761.6419677734375,268.0029296875,0.11649802327156067
synaptic,B,512.0,250,512,256,25,1.0,29,fwd,vanilla,64.17510223388672,377.0,0.12427597492933273
synaptic,B,512.0,250,512,256,25,1.0,29,fwdbwd,v2,221.19424438476562,4176.50048828125,0.11649802327156067
synaptic,B,512.0,250,512,256,25,1.0,29,fwdbwd,v1,644.0171508789062,2357.00048828125,0.11649802327156067
synaptic,B,512.0,250,512,256,25,1.0,29,fwdbwd,eventdriven,944.0778198242188,630.5029296875,0.11649802327156067
synaptic,B,512.0,250,512,256,25,1.0,29,fwdbwd,vanilla,151.1453399658203,627.0,0.12427597492933273
synaptic,N,64.0,250,256,64,25,1.0,29,fwd,v2,80.03174591064453,65.65625,0.11748706549406052
synaptic,N,64.0,250,256,64,25,1.0,29,fwd,v1,162.75645446777344,51.390625,0.11748706549406052
synaptic,N,64.0,250,256,64,25,1.0,29,fwd,eventdriven,3.443711996078491,33.59521484375,0.11748706549406052
synaptic,N,64.0,250,256,64,25,1.0,29,fwd,vanilla,62.704830169677734,47.0,0.12565918266773224
synaptic,N,64.0,250,256,64,25,1.0,29,fwdbwd,v2,191.90374755859375,527.81298828125,0.11748706549406052
synaptic,N,64.0,250,256,64,25,1.0,29,fwdbwd,v1,394.6822814941406,180.68798828125,0.11748706549406052
synaptic,N,64.0,250,256,64,25,1.0,29,fwdbwd,eventdriven,13.296640396118164,79.689453125,0.11748706549406052
synaptic,N,64.0,250,256,64,25,1.0,29,fwdbwd,vanilla,151.2804412841797,78.625,0.12565918266773224
synaptic,N,128.0,250,256,128,25,1.0,29,fwd,v2,82.09919738769531,134.75,0.12029480189085007
synaptic,N,128.0,250,256,128,25,1.0,29,fwd,v1,159.66220092773438,103.6875,0.12029480189085007
