model,layer,mean,sd,n,sem
ax_fixed,1,2.054100022896017,0.18236694015901284,5,0.0815569750088378
ax_fixed,2,3.6973800412128326,0.7517566482334348,5,0.3361957935974715
ax_fixed,3,0.7912210120040546,0.0707349451577582,5,0.031633629151493384
ax_learned,1,3.2420763418702796,0.5327808113347663,5,0.23826682225040557
ax_learned,2,5.505184312955878,0.8578538664649888,5,0.3836439120353484
ax_learned,3,1.0332646452752443,0.12856809615096748,5,0.057497400546258466
