model,std,magnitude,mean,n,sem
syn_fixed,18,0.2,76.59875784875786,9,0.10419667197281302
syn_fixed,18,0.3,71.33838383838383,9,0.23936832420643048
syn_fixed,18,0.4,62.726931476931476,9,0.34387004623859035
syn_fixed,18,0.5,49.77136227136227,9,0.5411219315237427
syn_fixed,23,0.0,81.37285012285012,3,0.3087844212091654
syn_fixed,23,0.1,79.35776685776686,9,0.1713785238826565
syn_fixed,23,0.2,76.49638274638275,9,0.28284435259475105
syn_fixed,23,0.3,71.6011466011466,9,0.390797761704248
syn_fixed,23,0.4,63.167144417144414,9,0.6450398765865902
syn_fixed,23,0.5,50.23546273546273,9,1.0004252986529927
syn_learned,3,0.0,84.43898443898443,3,0.15492164158907856
syn_learned,3,0.1,82.68154518154519,9,0.10941983465039262
syn_learned,3,0.2,79.66318591318591,9,0.07775623224285037
syn_learned,3,0.3,73.8943488943489,9,0.11576763798012497
syn_learned,3,0.4,64.85462735462735,9,0.11955334473921675
syn_learned,3,0.5,51.902470652470654,9,0.1573433312188897
syn_learned,8,0.0,84.16257166257166,3,0.21468281096960046
syn_learned,8,0.1,82.6951951951952,9,0.09797584937040564
syn_learned,8,0.2,79.77067977067978,9,0.09138805830956855
syn_learned,8,0.3,74.55296205296206,9,0.11245091966442561
syn_learned,8,0.4,65.88349713349713,9,0.18762175274479312
syn_learned,8,0.5,53.54388479388479,9,0.31782459125142865
syn_learned,13,0.0,83.53808353808354,3,0.35419418288300586
syn_learned,13,0.1,81.6458503958504,9,0.21823519617343187
syn_learned,13,0.2,78.67014742014743,9,0.22868865585266795
syn_learned,13,0.3,73.46096096096096,9,0.17485958518372846
syn_learned,13,0.4,64.81367731367732,9,0.26283200086896413
syn_learned,13,0.5,52.1515834015834,9,0.44248702868467066
syn_learned,18,0.0,82.9494266994267,3,0.2548605504607827
syn_learned,18,0.1,81.06231231231232,9,0.16107368559815285
syn_learned,18,0.2,77.99959049959051,9,0.16816103901489754
syn_learned,18,0.3,72.92349167349168,9,0.26316547303476157
syn_learned,18,0.4,64.64987714987716,9,0.2954612675131771
syn_learned,18,0.5,52.32903357903358,9,0.3556429868650867
syn_learned,23,0.0,82.62694512694513,3,0.11400008932903581
syn_learned,23,0.1,80.98723723723724,9,0.09050374665831068
syn_learned,23,0.2,78.04224679224679,9,0.2795051745386162
syn_learned,23,0.3,72.8654791154791,9,0.4807475836846912
syn_learned,23,0.4,64.63793338793339,9,0.6984980621657995
syn_learned,23,0.5,52.20447720447721,9,0.8024540956882046
