model,std,magnitude,model_seed,perturb_seed,acc
ax_learned,13,0.1,1,2,81.26535626535626
ax_learned,13,0.2,1,0,78.33230958230958
ax_learned,13,0.2,1,1,78.65479115479116
ax_learned,13,0.2,1,2,78.42444717444718
ax_learned,13,0.3,1,0,74.33968058968058
ax_learned,13,0.3,1,1,73.77149877149877
ax_learned,13,0.3,1,2,73.29545454545455
ax_learned,13,0.4,1,0,64.97235872235872
ax_learned,13,0.4,1,1,65.55589680589681
ax_learned,13,0.4,1,2,65.46375921375922
ax_learned,13,0.5,1,0,53.63943488943489
ax_learned,13,0.5,1,1,53.96191646191646
ax_learned,13,0.5,1,2,54.10012285012285
ax_learned,13,0.0,2,0,82.66277641277641
ax_learned,13,0.1,2,0,80.52825552825553
ax_learned,13,0.1,2,1,81.03501228501229
ax_learned,13,0.1,2,2,81.23464373464374
ax_learned,13,0.2,2,0,78.22481572481573
ax_learned,13,0.2,2,1,78.31695331695332
ax_learned,13,0.2,2,2,78.04054054054055
ax_learned,13,0.3,2,0,73.94041769041769
ax_learned,13,0.3,2,1,72.78869778869779
ax_learned,13,0.3,2,2,73.15724815724816
ax_learned,13,0.4,2,0,65.77088452088452
ax_learned,13,0.4,2,1,65.69410319410319
ax_learned,13,0.4,2,2,65.69410319410319
ax_learned,13,0.5,2,0,53.43980343980344
ax_learned,13,0.5,2,1,54.03869778869779
ax_learned,13,0.5,2,2,53.05589680589681
ax_learned,18,0.0,0,0,82.83169533169533
ax_learned,18,0.1,0,0,80.95823095823096
ax_learned,18,0.1,0,1,81.35749385749386
ax_learned,18,0.1,0,2,81.2039312039312
ax_learned,18,0.2,0,0,78.65479115479116
ax_learned,18,0.2,0,1,78.97727272727273
ax_learned,18,0.2,0,2,78.4551597051597
ax_learned,18,0.3,0,0,73.63329238329239
ax_learned,18,0.3,0,1,73.86363636363636
ax_learned,18,0.3,0,2,74.09398034398035
ax_learned,18,0.4,0,0,65.2487714987715
ax_learned,18,0.4,0,1,65.55589680589681
ax_learned,18,0.4,0,2,65.06449631449631
ax_learned,18,0.5,0,0,52.14987714987715
ax_learned,18,0.5,0,1,51.79668304668305
ax_learned,18,0.5,0,2,51.71990171990172
ax_learned,18,0.0,1,0,81.91031941031942
ax_learned,18,0.1,1,0,80.12899262899263
ax_learned,18,0.1,1,1,80.52825552825553
ax_learned,18,0.1,1,2,79.94471744471744
ax_learned,18,0.2,1,0,76.87346437346437
ax_learned,18,0.2,1,1,77.04238329238329
ax_learned,18,0.2,1,2,77.3034398034398
ax_learned,18,0.3,1,0,71.8519656019656
ax_learned,18,0.3,1,1,72.28194103194103
ax_learned,18,0.3,1,2,72.09766584766585
ax_learned,18,0.4,1,0,64.004914004914
ax_learned,18,0.4,1,1,64.15847665847666
ax_learned,18,0.4,1,2,63.6517199017199
ax_learned,18,0.5,1,0,51.78132678132678
ax_learned,18,0.5,1,1,51.9502457002457
ax_learned,18,0.5,1,2,51.45884520884521
ax_learned,18,0.0,2,0,83.21560196560196
ax_learned,18,0.1,2,0,81.38820638820638
ax_learned,18,0.1,2,1,81.6031941031941
ax_learned,18,0.1,2,2,81.06572481572482
ax_learned,18,0.2,2,0,78.992628992629
ax_learned,18,0.2,2,1,78.9004914004914
ax_learned,18,0.2,2,2,78.22481572481573
ax_learned,18,0.3,2,0,73.60257985257985
ax_learned,18,0.3,2,1,73.60257985257985
ax_learned,18,0.3,2,2,73.23402948402948
ax_learned,18,0.4,2,0,64.57309582309583
ax_learned,18,0.4,2,1,64.63452088452088
ax_learned,18,0.4,2,2,64.03562653562653
ax_learned,18,0.5,2,0,51.535626535626534
ax_learned,18,0.5,2,1,50.706388206388205
ax_learned,18,0.5,2,2,50.691031941031945
ax_learned,23,0.0,0,0,82.64742014742015
ax_learned,23,0.1,0,0,81.17321867321867
ax_learned,23,0.1,0,1,80.74324324324324
ax_learned,23,0.1,0,2,81.17321867321867
ax_learned,23,0.2,0,0,78.24017199017199
ax_learned,23,0.2,0,1,78.34766584766585
ax_learned,23,0.2,0,2,78.25552825552826
ax_learned,23,0.3,0,0,74.35503685503686
ax_learned,23,0.3,0,1,74.43181818181819
ax_learned,23,0.3,0,2,73.8482800982801
ax_learned,23,0.4,0,0,66.98402948402948
ax_learned,23,0.4,0,1,67.53685503685503
ax_learned,23,0.4,0,2,67.04545454545455
ax_learned,23,0.5,0,0,56.035012285012286
ax_learned,23,0.5,0,1,55.35933660933661
ax_learned,23,0.5,0,2,55.144348894348894
ax_learned,23,0.0,1,0,81.86425061425061
ax_learned,23,0.1,1,0,80.54361179361179
ax_learned,23,0.1,1,1,80.4514742014742
ax_learned,23,0.1,1,2,80.43611793611794
ax_learned,23,0.2,1,0,77.6566339066339
ax_learned,23,0.2,1,1,77.96375921375922
ax_learned,23,0.2,1,2,77.28808353808354
ax_learned,23,0.3,1,0,71.91339066339066
ax_learned,23,0.3,1,1,72.35872235872236
ax_learned,23,0.3,1,2,72.00552825552826
ax_learned,23,0.4,1,0,63.75921375921376
ax_learned,23,0.4,1,1,64.20454545454545
ax_learned,23,0.4,1,2,64.43488943488944
ax_learned,23,0.5,1,0,51.689189189189186
ax_learned,23,0.5,1,1,51.842751842751845
ax_learned,23,0.5,1,2,52.08845208845209
ax_learned,23,0.0,2,0,82.15601965601965
ax_learned,23,0.1,2,0,80.42076167076166
ax_learned,23,0.1,2,1,80.55896805896806
ax_learned,23,0.1,2,2,80.46683046683047
ax_learned,23,0.2,2,0,77.6566339066339
ax_learned,23,0.2,2,1,77.50307125307125
ax_learned,23,0.2,2,2,77.27272727272727
ax_learned,23,0.3,2,0,72.17444717444718
ax_learned,23,0.3,2,1,72.86547911547912
ax_learned,23,0.3,2,2,71.91339066339066
ax_learned,23,0.4,2,0,63.48280098280098
ax_learned,23,0.4,2,1,64.15847665847666
ax_learned,23,0.4,2,2,64.08169533169533
ax_learned,23,0.5,2,0,50.81388206388206
ax_learned,23,0.5,2,1,50.8445945945946
ax_learned,23,0.5,2,2,50.122850122850124
ax_fixed,3,0.0,0,0,82.34029484029485
ax_fixed,3,0.1,0,0,80.91216216216216
ax_fixed,3,0.1,0,1,80.92751842751842
ax_fixed,3,0.1,0,2,80.60503685503686
ax_fixed,3,0.2,0,0,77.56449631449631
ax_fixed,3,0.2,0,1,77.42628992628993
ax_fixed,3,0.2,0,2,77.93304668304668
ax_fixed,3,0.3,0,0,71.95945945945945
ax_fixed,3,0.3,0,1,72.06695331695332
ax_fixed,3,0.3,0,2,71.39127764127764
ax_fixed,3,0.4,0,0,62.945331695331696
ax_fixed,3,0.4,0,1,62.03931203931204
ax_fixed,3,0.4,0,2,62.46928746928747
ax_fixed,3,0.5,0,0,48.71007371007371
ax_fixed,3,0.5,0,1,48.38759213759214
ax_fixed,3,0.5,0,2,48.556511056511056
ax_fixed,3,0.0,1,0,82.34029484029485
ax_fixed,3,0.1,1,0,80.39004914004914
ax_fixed,3,0.1,1,1,80.02149877149877
ax_fixed,3,0.1,1,2,80.22113022113022
ax_fixed,3,0.2,1,0,77.07309582309583
ax_fixed,3,0.2,1,1,76.4588452088452
ax_fixed,3,0.2,1,2,76.56633906633907
ax_fixed,3,0.3,1,0,70.54668304668304
ax_fixed,3,0.3,1,1,69.87100737100737
ax_fixed,3,0.3,1,2,70.71560196560196
ax_fixed,3,0.4,1,0,61.73218673218673
ax_fixed,3,0.4,1,1,61.42506142506142
ax_fixed,3,0.4,1,2,61.45577395577396
ax_fixed,3,0.5,1,0,49.52395577395578
ax_fixed,3,0.5,1,1,49.063267813267814
ax_fixed,3,0.5,1,2,49.692874692874696
ax_fixed,3,0.0,2,0,82.24815724815724
ax_fixed,3,0.1,2,0,80.54361179361179
ax_fixed,3,0.1,2,1,80.35933660933661
ax_fixed,3,0.1,2,2,80.52825552825553
ax_fixed,3,0.2,2,0,77.99447174447174
ax_fixed,3,0.2,2,1,77.99447174447174
ax_fixed,3,0.2,2,2,77.64127764127764
ax_fixed,3,0.3,2,0,72.97297297297297
ax_fixed,3,0.3,2,1,72.52764127764128
ax_fixed,3,0.3,2,2,72.2051597051597
ax_fixed,3,0.4,2,0,63.78992628992629
ax_fixed,3,0.4,2,1,63.943488943488944
ax_fixed,3,0.4,2,2,63.59029484029484
ax_fixed,3,0.5,2,0,51.33599508599509
ax_fixed,3,0.5,2,1,50.42997542997543
ax_fixed,3,0.5,2,2,50.81388206388206
ax_fixed,8,0.0,0,0,83.15417690417691
ax_fixed,8,0.1,0,0,81.40356265356266
ax_fixed,8,0.1,0,1,81.86425061425061
ax_fixed,8,0.1,0,2,81.66461916461917
ax_fixed,8,0.2,0,0,78.86977886977887
ax_fixed,8,0.2,0,1,78.83906633906633
ax_fixed,8,0.2,0,2,78.60872235872236
ax_fixed,8,0.3,0,0,72.91154791154791
ax_fixed,8,0.3,0,1,72.54299754299754
ax_fixed,8,0.3,0,2,73.29545454545455
ax_fixed,8,0.4,0,0,63.98955773955774
ax_fixed,8,0.4,0,1,63.6517199017199
ax_fixed,8,0.4,0,2,64.38882063882063
ax_fixed,8,0.5,0,0,49.66216216216216
ax_fixed,8,0.5,0,1,49.26289926289926
ax_fixed,8,0.5,0,2,49.58538083538083
ax_fixed,8,0.0,1,0,82.60135135135135
ax_fixed,8,0.1,1,0,80.19041769041769
ax_fixed,8,0.1,1,1,80.57432432432432
ax_fixed,8,0.1,1,2,80.4054054054054
