model,magnitude,mean,n,sem
ax_fixed,0.0,82.11362967324109,5,0.07109212319371988
ax_fixed,0.1,82.16694468975894,15,0.04084311199992698
ax_fixed,0.25,82.07143558041409,15,0.03901951193405128
ax_fixed,0.5,81.09999018742026,15,0.07846003360868187
ax_fixed,0.75,79.47666241454878,15,0.15157745007536252
ax_fixed,1.0,72.63173388283779,15,0.38743338088457036
ax_learned,0.0,82.41978216073005,5,0.10099571168541717
ax_learned,0.1,82.38641938965753,15,0.05495002926927409
ax_learned,0.25,82.19867203087692,15,0.05814171180166562
ax_learned,0.5,81.21545154221046,15,0.07371677357594392
ax_learned,0.75,79.19831223628692,15,0.13596894782398983
ax_learned,1.0,70.05691296241781,15,0.4315341559870907
