model,layer,selection,magnitude,model_seed,perturb_seed,dose,acc
ax_learned,3,random,0.5,0,1,4.90625,81.86144637425178
ax_learned,3,random,0.5,0,2,5.0390625,81.76822686684329
ax_learned,3,random,0.75,0,0,6.921875,81.35609851830046
ax_learned,3,random,0.75,0,1,7.6796875,81.56216269257187
ax_learned,3,random,0.75,0,2,7.5234375,81.28741046020998
ax_learned,3,random,1.0,0,0,9.4921875,80.88018840153076
ax_learned,3,random,1.0,0,1,8.734375,81.07643999607497
ax_learned,3,random,1.0,0,2,9.234375,81.04209596702974
ax_learned,3,long,0.1,0,0,0.3203125,82.48945147679325
ax_learned,3,long,0.1,0,1,0.4375,82.57285840447453
ax_learned,3,long,0.1,0,2,0.390625,82.48945147679325
ax_learned,3,long,0.25,0,0,1.59375,82.26376214306741
ax_learned,3,long,0.25,0,1,1.7890625,82.18035521538613
ax_learned,3,long,0.25,0,2,1.6875,82.31282504170346
ax_learned,3,long,0.5,0,0,3.6484375,82.11657344715925
ax_learned,3,long,0.5,0,1,4.0703125,81.88597782356982
ax_learned,3,long,0.5,0,2,3.765625,82.19998037484055
ax_learned,3,long,0.75,0,0,7.0078125,81.52291237366303
ax_learned,3,long,0.75,0,1,6.6015625,81.50328721420861
ax_learned,3,long,0.75,0,2,6.578125,81.3021293298008
ax_learned,3,short,0.1,0,0,0.1015625,82.52870179570209
ax_learned,3,short,0.1,0,1,0.140625,82.49926405652046
ax_learned,3,short,0.1,0,2,0.125,82.36188794033951
ax_learned,3,short,0.25,0,0,0.5546875,82.43057599842999
ax_learned,3,short,0.25,0,1,0.546875,82.27848101265823
ax_learned,3,short,0.25,0,2,0.5546875,82.32754391129428
ax_learned,3,short,0.5,0,0,1.328125,82.4354822882936
ax_learned,3,short,0.5,0,1,1.5546875,82.20979295456776
ax_learned,3,short,0.5,0,2,1.4140625,82.2490432734766
ax_learned,3,short,0.75,0,0,4.078125,81.99882249043273
ax_learned,3,short,0.75,0,1,3.9140625,81.92522814247866
ax_learned,3,short,0.75,0,2,3.8203125,81.94485330193308
ax_learned,1,random,0.0,1,0,0.0,82.37660680993034
ax_learned,1,random,0.1,1,0,1.2578125,82.07241683838681
ax_learned,1,random,0.1,1,1,1.03125,82.10185457756845
ax_learned,1,random,0.1,1,2,0.6640625,82.32263762143067
ax_learned,1,random,0.25,1,0,3.140625,80.90471985084879
ax_learned,1,random,0.25,1,1,3.0,80.80659405357669
ax_learned,1,random,0.25,1,2,2.59375,81.31684819939161
ax_learned,1,random,0.5,1,0,5.9921875,79.17279952899618
ax_learned,1,random,0.5,1,1,5.75,79.31998822490432
ax_learned,1,random,0.5,1,2,5.28125,79.92346187812775
ax_learned,1,random,0.75,1,0,8.859375,75.04170346384065
ax_learned,1,random,0.75,1,1,7.7265625,76.67059169855754
ax_learned,1,random,0.75,1,2,8.2890625,74.07516436071043
ax_learned,1,random,1.0,1,0,10.8671875,75.19870473947601
ax_learned,1,random,1.0,1,1,10.3984375,70.24335197723481
ax_learned,1,random,1.0,1,2,10.0390625,74.8062015503876
ax_learned,1,long,0.1,1,0,0.6875,82.77401628888235
ax_learned,1,long,0.1,1,1,0.7109375,82.52379550583848
ax_learned,1,long,0.1,1,2,0.625,82.65135904229221
ax_learned,1,long,0.25,1,0,2.453125,81.86144637425178
ax_learned,1,long,0.25,1,1,2.1328125,82.13129231675008
ax_learned,1,long,0.25,1,2,2.3984375,81.94485330193308
ax_learned,1,long,0.5,1,0,5.453125,80.9194387204396
ax_learned,1,long,0.5,1,1,5.5078125,80.96850161907565
