model,layer,mean,sd,n,sem
ax_fixed,1,3.7490596277761403,0.7524645033611134,5,0.3365123560342137
ax_fixed,2,2.636967258692308,0.44221009863419924,5,0.19776236817659126
ax_fixed,3,0.5671671082327502,0.07852959321627931,5,0.035119501735401376
ax_learned,1,5.515978150655807,0.589296724666358,5,0.26354150705439067
ax_learned,2,3.221469924443138,0.5928477572452715,5,0.2651295771017441
ax_learned,3,0.6273509305596454,0.1374909376808743,5,0.061487816588924445
