model,type,condition,lam,seed,acc,firing_rate,spike_cost,delay_mean,delay_std,delay_max
ax_learned,axonal,learned,1.0,1,84.16769041769042,0.16163911656685095,0.08052101559363879,7.427631378173828,5.673231601715088,30.0
ax_learned,axonal,learned,1.0,2,79.89864864864865,0.1542371279304873,0.07636973892266934,6.759868621826172,5.4421210289001465,31.0
ax_learned,axonal,learned,1.7,0,83.98341523341523,0.13110621576832515,0.06563320727302478,7.197368621826172,5.292794704437256,22.0
ax_learned,axonal,learned,1.7,1,84.53624078624078,0.13546431747798934,0.06795329887133378,7.661184310913086,5.695133209228516,27.0
ax_learned,axonal,learned,1.7,2,82.50921375921376,0.13301804041257168,0.06655965200983562,7.115131378173828,5.622139930725098,27.0
ax_learned,axonal,learned,3.0,0,82.8931203931204,0.10451278569052007,0.052711768505664974,6.9934210777282715,5.399191379547119,27.0
ax_learned,axonal,learned,3.0,1,83.09275184275184,0.11201860827446765,0.05669568335780731,7.7302632331848145,6.010375499725342,29.0
ax_learned,axonal,learned,3.0,2,78.97727272727273,0.10511972768222769,0.05252089050526802,6.986842155456543,5.280284404754639,25.0
ax_learned,axonal,learned,5.0,0,78.88513513513513,0.08310394112151924,0.042115815700246736,7.0460524559021,5.272619247436523,23.0
ax_learned,axonal,learned,5.0,1,80.37469287469287,0.0893626446048321,0.045388164142003425,7.8585524559021,5.608064651489258,30.0
ax_learned,axonal,learned,5.0,2,77.50307125307125,0.08674294571560197,0.043541473551438406,7.1875,5.641222953796387,26.0
ax_learned,axonal,learned,10.0,0,76.1517199017199,0.0702208854806511,0.035729415428179964,6.5427632331848145,5.197242736816406,24.0
ax_learned,axonal,learned,10.0,1,78.11732186732186,0.06816825508036446,0.03481107677977819,7.4539475440979,6.020621299743652,32.0
ax_learned,axonal,learned,10.0,2,74.6928746928747,0.06825130368294431,0.03459898969874932,7.253289699554443,5.786069869995117,28.0
ax_learned,axonal,learned,30.0,0,71.17628992628993,0.05671062717547092,0.029467753492868863,7.009868621826172,5.528327465057373,24.0
ax_learned,axonal,learned,30.0,1,68.56572481572482,0.054556535050675675,0.028228353852262862,7.3815789222717285,5.890932083129883,28.0
ax_learned,axonal,learned,30.0,2,71.46805896805897,0.052565516866298116,0.027030514624829475,6.9934210777282715,5.936613082885742,27.0
ax_fixed,axonal,fixed,0.0,0,83.38452088452088,0.2877148565468878,0.13882836412924987,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,0.0,1,82.92383292383292,0.31144646421990174,0.15031188611800855,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,0.0,2,82.77027027027027,0.2952516316031941,0.14282667292998388,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,0.1,0,83.61486486486487,0.2631530411803849,0.12752500520302698,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,0.1,1,83.64557739557739,0.2748284337249181,0.13332796096801758,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,0.1,2,83.13882063882063,0.26880344300266173,0.13059458079246375,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,0.2,0,83.93734643734643,0.2405411227989353,0.11694046711692443,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,0.2,1,83.79914004914005,0.25088803842905405,0.12230298095024549,6.802631378173828,5.094552516937256,27.0
