model,type,condition,lam,acc_mean,acc_sem,firing_rate_mean,firing_rate_sem,spike_cost_mean,spike_cost_sem,delay_mean_mean,delay_mean_sem,delay_std_mean,delay_std_sem,delay_max_mean,delay_max_sem
ax_fixed,axonal,fixed,0.0,83.02620802620802,0.15069207047378835,0.29813765078999455,0.005716333921247058,0.1439889743924141,0.0027479700723645937,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,0.1,83.46642096642097,0.13393804195188777,0.26892830596932155,0.0027523884915375547,0.13048251565450278,0.0013685347272798388,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,0.2,83.74283374283374,0.10745322477363883,0.24300461754368005,0.0032929677695762616,0.11840163238155536,0.0016093483547487903,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,0.3,83.8605651105651,0.08221938167592442,0.22443011566253754,0.0015685953086099975,0.10983365898331006,0.0008435386917441381,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,0.5,83.49201474201475,0.4695324445318862,0.1980090628625785,0.0019992972926240553,0.09752650224627592,0.0010304689271143847,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,1.0,83.66605241605241,0.524532967896224,0.16092984746109748,0.0017462422201797536,0.08002900867125927,0.00096864859881632,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,1.7,82.2993447993448,1.0405645661136445,0.13391931882166255,0.0025179957656638703,0.06701807778042096,0.001532194928349208,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,3.0,82.47850122850123,0.4850138650644822,0.107733156629641,0.0006089112135755594,0.05438313561563309,0.0003851426677020558,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,5.0,78.86466011466011,0.4046299565621824,0.0868826493396806,0.0005150784029223749,0.04389079755697495,0.00021999102309606258,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,10.0,76.76085176085176,0.975423972729181,0.06902829285251161,0.0013278937704751393,0.03508481326011511,0.0007154530803326087,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
ax_fixed,axonal,fixed,30.0,70.06552006552006,0.9372867874530411,0.054222153438950316,0.0006383018940328085,0.027891958227906476,0.00036976190806569336,6.356359640757243,0.19830625306360264,4.8047129313151045,0.15975126779683038,24.333333333333332,2.1773242158072694
